Days on Zillow,Status,Price,Zipcode,House Size,Lot Size,Year Built,Schools Rating,Rent Estimate
3,House for sale,299900,77372,1970,21153,2005,3,1859
4,House for sale,235000,77372,1300,19341,1978,3,1494
17,House for sale,449990,77372,2709,62334,2000,3.5,1667
44,House for sale,170000,77372,1144,224770,1970,3.5,1667
0,House for sale,249999,77372,937,21780,1997,3.5,1134
17,House for sale,169500,77328,1107,17100,2005,3.3,1332
0,House for sale,238000,77372,1955,9449,1975,3,1792
0,House for sale,725000,77372,3497,87120,1970,3.5,2827
0,House for sale,259000,77328,1700,24438,1988,3.3,1474
76,House for sale,179500,77372,1588,9600,1975,3,1494
9,House for sale,199000,77372,990,57978,2012,3.5,1538
0,House for sale,405000,77372,1847,55060,2018,3.2,1630
11,House for sale,574900,77372,2122,151371,1975,3.2,1724
7,House for sale,193000,77372,800,26572,2017,3.3,1620
32,House for sale,525000,77372,824,43560,1972,3.5,1665
0,House for sale,774900,77372,960,362454,2004,3.5,1632
294,House for sale,675000,77372,1972,103237,1952,3.5,4140
42,House for sale,259000,77327,1108,23867,2001,3.2,2100
0,House for sale,337000,77327,2742,21327,2019,3.2,2536
25,House for sale,229500,77327,1056,217800,1968,3.2,1763
10,House for sale,470000,77327,4012,39640,2017,3.2,3235
37,House for sale,120000,77327,896,14810,2015,3.2,1661
3,House for sale,89500,77535,1080,48482,1982,4.5,1204
5,House for sale,865000,77535,7296,255262,1997,4.5,6710
0,House for sale,399000,77535,3137,93088,2009,4.5,3187
0,House for sale,460000,77535,2148,436036,2007,4.5,3206
194,House for sale,120000,77327,393,9614,2017,4.5,1820
0,House for sale,136999,77327,904,6044,1991,4.5,964
28,New construction,116999,77327,384,10641,2021,4.5,1399
271,House for sale,178999,77327,1103,10702,1995,4.5,1165
28,House for sale,109999,77327,408,9276,2021,4.5,1724
77,House for sale,305000,77327,1886,10062,2014,4.5,1684
678,House for sale,152999,77327,630,13312,2020,4.5,583
691,House for sale,119999,77327,504,11749,2020,4.5,870
691,House for sale,119999,77327,504,11752,2020,4.5,870
0,House for sale,379000,77447,1847,43560,2013,6,2075
0,House for sale,323000,77355,1861,21780,2007,4.8,1999
0,House for sale,875000,77447,5050,58052,1998,6,4089
23,House for sale,497500,77447,1886,19602,2018,6,1998
0,House for sale,389999,77355,2194,21780,2005,4.8,2199
2,House for sale,395000,77447,2072,51940,1998,5,1909
3,House for sale,349000,77355,1729,95135,2005,5,2044
4,House for sale,575000,77355,2563,40409,2001,5,2005
0,House for sale,430000,77355,2264,71177,2001,5,1714
5,House for sale,275000,77355,1373,10404,2013,4.4,1898
0,House for sale,100000,77355,986,9375,1976,5,1374
0,House for sale,259900,77354,1586,27877,1970,5,1898
11,House for sale,450000,77355,1997,43287,2005,5,2156
6,House for sale,345000,77355,2571,7209,2017,5.4,2353
0,House for sale,399900,77355,1600,48351,2012,5,1795
7,House for sale,285000,77355,1730,13875,1996,5.4,1780
0,House for sale,310000,77355,2600,9543,2006,4.4,2189
11,House for sale,710000,77355,2949,87076,1995,5.4,3811
10,House for sale,775000,77355,3503,83940,2004,5,3895
0,House for sale,319000,77355,2154,7107,2013,4.4,2142
15,House for sale,580000,77355,2968,97531,1995,5,3414
0,House for sale,849000,77355,3352,91912,2005,4.4,3873
0,House for sale,318000,77355,2154,7602,2013,4.4,1898
28,House for sale,325000,77355,1962,13875,1998,5.4,1849
17,House for sale,357000,77355,2210,7100,2017,5.4,2323
0,House for sale,615000,77354,3962,44431,1983,5,3312
0,House for sale,475000,77354,2631,216058,1976,5,3248
0,House for sale,745000,77355,3822,143879,2007,5,4500
118,New construction,254000,77354,672,20473,1992,5,1264
197,House for sale,765000,77355,3069,104065,2007,5,2975
0,House for sale,250000,77447,1256,20000,1982,5,1581
4,House for sale,324700,77375,2332,10375,1982,6.3,2199
3,House for sale,750000,77355,3937,41460,1977,7,3367
4,House for sale,725000,77354,1782,217800,1995,6,3380
6,House for sale,799900,77355,2875,208652,2005,7,4453
0,House for sale,314000,77362,1762,6325,2004,7,1775
4,House for sale,390000,77362,1944,25000,1981,7,1832
4,House for sale,264000,77362,1556,5946,2017,7,1792
4,House for sale,860000,77362,3637,12090,2020,7,1813
0,House for sale,382000,77362,1960,20473,1973,7,1894
0,House for sale,450000,77375,2458,11761,2016,6.3,2445
3,House for sale,249900,77354,1364,12100,2005,5.7,1709
0,House for sale,685000,77362,3271,132078,2010,7,3643
32,House for sale,349900,77362,2744,6622,2003,7,2190
3,House for sale,340000,77362,2454,6816,2017,7,2175
0,House for sale,485000,77354,2449,43560,1981,6,1914
10,House for sale,750000,77375,3550,58851,2014,6.3,4163
10,House for sale,399900,77362,1838,23086,2015,7,1813
10,House for sale,350000,77362,2349,5893,2005,7,1737
0,House for sale,699000,77362,3820,8800,2018,7,3879
10,House for sale,539000,77362,3172,6606,2018,7,3499
0,House for sale,575000,77375,4032,12137,2014,6.3,4128
21,House for sale,399000,77354,2787,7500,2004,6,2199
61,House for sale,780000,77375,2951,8799,2000,6.3,2699
24,House for sale,465000,77375,2319,7650,2018,6.3,2385
11,House for sale,650000,77375,3583,18511,2001,6.3,3140
0,House for sale,385000,77375,1700,13000,1985,6.3,1867
16,House for sale,360000,77375,2179,8881,2000,6.3,2185
67,House for sale,375000,77354,1624,22041,1964,6,2165
3,House for sale,600000,77354,924,262362,1990,6,1881
0,House for sale,749000,77354,1408,37897,1977,5.7,2145
3,House for sale,409995,77381,2045,6993,1989,8.8,2342
0,House for sale,600000,77389,3405,16289,1970,5,3064
0,House for sale,379950,77389,2174,9486,2002,6.7,2077
3,House for sale,335000,77389,2220,9100,2003,7,2116
3,House for sale,300000,77389,1831,9912,1993,6.7,1882
