addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
17326 Edsall Dr	3.5	5	Spring	Harris County	2022-09-15T14:39:54.297Z	87	17326 Edsall Dr, Spring, TX 77388	17326-Edsall-Dr,-Spring,-TX-77388	2022-10-24T14:55:19.387Z	30.029278	2022-07-30T05:55:08.000Z	-95.471459	9431	415000	Single Family	17326 Edsall Dr, Spring, TX 77388		3108	TX	Active	1973	77388
20434 Oak Lodge Meadow Dr	2	3	Humble	Harris County	2022-08-05T14:00:00.267Z	87	20434 Oak Lodge Meadow Dr, Humble, TX 77338	20434-Oak-Lodge-Meadow-Dr,-Humble,-TX-77338	2022-10-24T14:55:19.385Z	30.018038	2022-07-30T01:04:42.000Z	-95.291824	5515	229900	Single Family	20434 Oak Lodge Meadow Dr, Humble, TX 77338		1412	TX	Active	2016	77338
9829 Resting Ridge Ln	2.5	3	Houston	Harris County	2022-10-14T14:54:02.674Z	87	9829 Resting Ridge Ln, Houston, TX 77080	9829-Resting-Ridge-Ln,-Houston,-TX-77080	2022-10-24T14:55:19.385Z	29.831114	2022-07-30T08:50:38.000Z	-95.535614		411490	Single Family	9829 Resting Ridge Ln, Houston, TX 77080		2047	TX	Active		77080
17307 Shadow Ledge Dr	2.5	4	Houston	Harris County	2021-04-18T15:40:30.168Z	87	17307 Shadow Ledge Dr, Houston, TX 77095	17307-Shadow-Ledge-Dr,-Houston,-TX-77095	2022-10-24T14:55:19.385Z	29.926848	2022-07-30T06:01:51.000Z	-95.678995	5937	371000	Single Family	17307 Shadow Ledge Dr, Houston, TX 77095		3175	TX	Active	2002	77095
3505 3507 1/2 Vintage St	1	9	Houston	Harris County	2022-08-05T14:00:00.255Z	87	3505 3507 1/2 Vintage St, Houston, TX 77026	3505-3507-1-2-Vintage-St,-Houston,-TX-77026	2022-10-24T14:55:19.385Z	29.80341	2022-07-30T06:01:51.000Z	-95.333713	8775	399000	Duplex-Triplex	3505 3507 1/2 Vintage St, Houston, TX 77026		864	TX	Active	1965	77026
24302 Wild Bramble Ln	3.5	4	Katy	Harris County	2022-09-05T14:28:28.799Z	87	24302 Wild Bramble Ln, Katy, TX 77493	24302-Wild-Bramble-Ln,-Katy,-TX-77493	2022-10-24T14:55:19.384Z	29.831461	2022-07-30T08:50:38.000Z	-95.79015		419730	Single Family	24302 Wild Bramble Ln, Katy, TX 77493		2764	TX	Active	2022	77493
10311 Fountain Shores Dr	4.5	5	Houston	Harris County	2022-08-05T14:00:00.259Z	87	10311 Fountain Shores Dr, Houston, TX 77065	10311-Fountain-Shores-Dr,-Houston,-TX-77065	2022-10-24T14:55:19.384Z	29.922448	2022-07-30T05:55:08.000Z	-95.597077	9052	749500	Single Family	10311 Fountain Shores Dr, Houston, TX 77065		5013	TX	Active	2001	77065
3020 Live Oak St			Houston	Harris County	2022-05-11T13:06:57.456Z	86	3020 Live Oak St, Houston, TX 77004	3020-Live-Oak-St,-Houston,-TX-77004	2022-10-24T14:55:19.383Z	29.734238	2022-07-30T16:59:27.000Z	-95.36293	3350	198000	Land	3020 Live Oak St, Houston, TX 77004			TX	Active		77004
4319 Reese Ravine Ln	2.5	4	Katy	Harris County	2022-08-05T14:49:25.641Z	87	4319 Reese Ravine Ln, Katy, TX 77493	4319-Reese-Ravine-Ln,-Katy,-TX-77493	2022-10-24T14:55:19.383Z	29.831461	2022-07-30T08:50:38.000Z	-95.79015		394440	Single Family	4319 Reese Ravine Ln, Katy, TX 77493		2585	TX	Active	2022	77493
18834 Appletree Hill Ln	2	4	Houston	Harris County	2022-06-21T17:02:04.939Z	87	18834 Appletree Hill Ln, Houston, TX 77084	18834-Appletree-Hill-Ln,-Houston,-TX-77084	2022-10-24T14:55:19.383Z	29.819641	2022-07-30T05:55:08.000Z	-95.698093	6856	299000	Single Family	18834 Appletree Hill Ln, Houston, TX 77084		2032	TX	Active	1991	77084
